id;certificate_name;issue_date;expiration_date;certification_url
1;Configuration vortals;Synchronised Brand Tuna;haptic;Multi-channelled target redundant
2;EXE;Configurable Frozen Small;bypass Soft;Berkshire
3;Colon matrix card;definition Brook Kids;Guam microchip calculate;Indiana
4;efficient Account enhance;redundant capability;generate Phased Kansas;Orchestrator
5;executive hack;Global;Chair grow;Account Money Malagasy
6;Refined;capacitor;Unbranded;Awesome users South
7;Cloned connecting;synergistic Industrial Future;parse Agent;fault-tolerant
8;red;Cape transition;fault-tolerant Maine Cambridgeshire;Islands
9;Carolina Licensed;Electronics;logistical;Loan Account navigating
10;generating;Architect;Account withdrawal Zambia;Garden
