id;grade_level;day_of_week;start_time;end_time
1;72393;6;deposit Account;Beauty Stand-alone
2;78682;6;Human markets Manager;Cheese
3;64853;6;Keyboard Future transmitting;Manager website
4;88854;4;bandwidth Creative Refined;Direct back-end Indiana
5;77207;2;Mauritius Mouse;Rubber Alabama
6;26973;3;Forward neural customized;Computer
7;42193;2;Island Berkshire back-end;overriding plum
8;97716;7;International SQL cross-platform;Technician
9;69341;1;blockchains;copying Bedfordshire
10;17553;6;Seamless;bandwidth definition invoice
