id;title;description;creation_date;duration
1;Dollar Peru Innovative;infomediaries Specialist;Fantastic;11803
2;Ergonomic Sausages niches;navigate array Tasty;Zloty Iraq;22624
3;exuding Arizona Architect;reboot Harbors;Idaho;83933
4;cyan Mouse;Zambian Refined;Corporate;52098
5;fresh-thinking;deposit;bandwidth Quality;78904
6;Soap;open-source Kids;Prairie moratorium Buckinghamshire;9975
7;Optimized payment;FTP;Avon Car;29036
8;architect withdrawal;invoice;transmit back-end;14478
9;Strategist Danish;Pula;Shoes matrices SMS;11832
10;Associate Regional pink;neural;Data JBOD;48348
