id;invoice_date;due_date;total_amount;status
1;Texas Focused;Table;5801;Infrastructure gold Grove
2;Australia reboot program;national Frozen Berkshire;29319;Account Borders Home
3;Baby;monitor;87472;parse intuitive Division
4;Assistant Account program;EXE Director open;69970;Dynamic iterate
5;Fresh;sticky Awesome Integration;88319;action-items
6;hub;matrix SDD;4423;RSS Salad
7;interactive deposit Electronics;bypassing transitional Toys;44979;back Louisiana
8;Account;Intuitive applications;10756;Arizona Vermont system
9;Ball tan;Rubber Accounts Loan;36683;Home
10;metrics Credit;monitor Arizona applications;22236;Toys deposit
