id;title;resource_url;description
1;driver Trail invoice;compressing cross-platform Devolved;bluetooth wireless
2;Legacy;Producer quantifying Account;deliverables parsing
3;Computer;Lead;application Tuna benchmark
4;Regional;deposit Rustic;Analyst
5;Square;Soft;Salvador
6;Program Tasty Account;mobile out-of-the-box;withdrawal teal
7;gold Soft;dot-com Missouri Drives;Metrics
8;demand-driven Tasty matrices;connecting;Directives
9;Union Loan;bus;Auto
10;Metrics Avon optical;olive Internal;Consultant
