id;title;content;jhi_order;duration
1;Director benchmark standardization;Keyboard;90389;46382
2;Naira Fish;Granite;40658;68873
3;Jewelery;Global;85344;24443
4;Savings reboot;incubate calculate;83901;28972
5;Handmade reintermediate;invoice Graphical Cove;26011;15340
6;Mountains Handmade systemic;Peru Kina;75601;59949
7;Garden Producer;e-markets Niue New;81091;4892
8;Reverse-engineered Fantastic;firewall Berkshire;82701;60548
9;salmon Salad;primary Bike Optimization;54082;97305
10;Senior radical interface;Dynamic matrix;88394;15889
