id;role_type;effective_date;expiration_date
1;fuchsia functionalities;structure Cotton;Lead haptic
2;Practical Orchestrator Direct;Liaison Chicken Sausages;Shirt
3;state drive XML;Guam;Fantastic Administrator directional
4;Small;Steel robust;virtual Operations Handcrafted
5;Usability;Games invoice Port;Mountain Silver
6;Total virtual;copying mindshare;white next-generation
7;e-services Car bypassing;Designer;up bandwidth architect
8;Texas Bedfordshire;B2B Producer Incredible;blue Account
9;turquoise;Concrete array Bike;parsing
10;Group;software homogeneous Chicken;synergies
